id,role,feature,benefit,
60,home occupant,my smart home to greet and take pictures of anyone who enters my home who is not a registered occupant,a person wishing to do harm at home would think twice about doing so.,
3214,home occupant,"my home to detect any malfunctioning equipment, any leaking taps, any wear and tear that requires maintenance and recommend the right preventing actions","I do not face any equipment outages, shortages or inability to live comfortably at home",
1710,pet lover,my pets to be watched over screen and to know the necessary foods available for them,I can keep them healthy,
1603,home occupant,a device which automatically monitors and sweeps the floor.,so that my floor remains clean,
737,parent,carpets that can sense when my kid is about to fall,so that he/she doesn't fall on ground rather a carpet appears and he doesn't get hurt.,
2675,home occupant,the house to adjust the temp to lower while I'm asleep,I can save energy,
2496,movie buff,something to list all new available movies within all of my available platforms in a single location,I know when something new is available,
61,pet owner,to be notified via smartwatch application by my smarthome when my pet's water container is low,so that my pet will always be hydrated and better taken care of. ,
1539,home occupant,"my child TV to automatically turn off a set time, ",so they don't watch too much TV.,
3706,home occupant,my smart home to email me a picture when people stop by the house when I am on vacation,I know what is happening ,
2136,home owner,my fridge to catalog what I put in it and create a menu plan,I eat a more balanced diet. ,
503,home owner,ceiling fans to turn on when house temperature begins to rise,the house can cool without using AC,
1548,pet owner,a sensor that will sound an alarm if my dog escapes through the fenced backyard or something happens to hurt my pet,I will be confident they are safe outside.,
2789,home occupant,my home to detect the weather and adjust the heating/AC as necessary.,I save on energy costs.,
2891,home occupant,my thermostat to automatically adjust itself based on real-time weather updates,my house can be more efficient with cooling and heating,
816,home owner,my door to ring the doorbell when people draws near,we know when someone is at the door,
10,home owner,smart home to be smart,I become smart,
234,mother,an oven that preheats at set intervals,I can be ready to cook dinner when I get my son home from school.,
3629,home owner,to be notified in a spike of energy consumption ,I can address the situation or know why my energy bill will be high.,
1495,pet owner,my smart home to open the back door whenever it detects my dog's presence for longer than 3 minutes,my dog is able to relieve itself outside without a long waiting period. ,
3655,home occupant,My smart tv to alert me when the remote is moved off the table,I don't have to look for it all the time,
889,home occupant,Handprint recognition on the front door,I wouldnt need keys in case the face recognition isnt working right,
2635,home owner,the temperature to automatically adjust based on how hot or cold it is outside,I am comfortable,
3210,energy saver,a device that cools down any of my electronic devices,they won't overheat,
2383,cereal eater,a robot that pours me my captain crunch,i don't have to pour my own captain crunch,
980,home owner,the gate to be opened when an vehicle is coming,It will be easy to park the vehicle,
1801,parent,my smart floor to alert me when ever my child keep non eatable item in her mouth,I can rush to them and stop her before putting it in her mouth,
2655,parent,my smart home to turn on the lights when my child cries,I may not have to get up at night,
3102,home owner,sensors on the bathtub,if I fall the paramedics will be called,
1403,pet owner,a door that unlocks and opens with the command of a smart phone,I can let the dog out to use the bathroom even when I'm not home.,
930,home occupant,the temperature in my home to be monitored inside and outside the home and compare it to temperature settings,I can monitor any deficiencies in insulation in my home and rectify them,
397,grand mother,need room,for rest,
955,a headmaster,maintain the working hours arrange the good teacher for free students,increase the good result for the school,
1722,renter,a notification on both my computer and smartphone when I receive packages or mailman opens mailbox,retrieve mail and packages before they are stolen,
1555,home occupant,automatically closing curtains or blinds in areas where I might be changing or bathing,I will know no one is peeking in.,
890,home owner,light bulbs that double down as speakers,i can listen to music in cool places,
177,home occupant,garage door open automatically when I arive with my car,no need to manually open garage dors,
656,home occupant,something that would turn on music by the sound of my voice.,I won't have to get up to turn it on.,
2688,pool owner,"a feature that can automatically drain my pool in the fall/winter, cover it, and then refill it in the spring",we can enjoy the pool in the months we can use it. ,
2667,music lover,my favorite music to play at good times of day,I can enjoy it,
2273,parent, which tracks the usage of electronics in the house,we can review and limit certain electronics usage for children,
2838,home occupant,the stove top burners and oven to automatically turn off,that unwatched  pots will not burn,
274,home occupant,my smarthome to beep when there is a rodent inside my home,there won't be any damage to my household things,
2669,home occupant,lightbulbs that turn off if a human presence is not detected,energy will be saved.,
1766,home occupant,sprinklers that come on automatically and consumers water,so i dont have to do it.,
3603,home owner,a mailbox that lets you know when its full,"when the mail is put in there and im home, i can immediately go get it.",
1184,home occupant,a notification when water level is low on my hot tub,I can fill it up before it turns off,
2305,home owner,my doors to lock and unlock by voice recognition,only certain people can enter my home.,
1193,person who has to wake up early,"a TV that turns on at a specific time, to a specific channel, at a specific volume ",I wake up watching exactly what I want.,
7,home owner,smart home to wake me up,I don't sleep till late,
687,nanny,"to access emergency contacts at the touch of a button, even away from the home",I can save time in case of an emergency,
2676,movie watcher,"a tv that gathers information about what I watch, and recommends movies to me",I can broaden my movie collection,
2356,parent,transformable stairs that become soft and bouncy when people slip and fall,"when they do fall, they will have something soft to land on and not get hurt",
3121,home owner,outdoor motion detectors,I can be alerted when there is movement outside my house.,
3600,home owner,shades tht automatically close,"when it gets too hot inside, or hot outside, thermal shades can shut",
1694,parent,to know how long my air conditioners been running each day by sending me a message to my phone,i could keep my energy bill in check,
45,home occupant,"my smart home to sync all Christmas-related lights, indoor and outdoor, and turn them on and off at the appropriate time",it's more convenient for me,
1948,home owner,"my smart home to keep a relatively stable humidity factor, whether it means taking humidity out of the air, or adding it back in",my family will feel better.,
2859,home occupant,a sensor on the lights ,"when I walk into a room, the lights automatically come on and turn off when I walk out",
2505,coffee lover,a coffee pot that can be controlled via mobile app,I don't have to manually set the pot,
230,bill payer,lights to automatically turn off when no motion is detected in a room,I will save on bills.,
140,my pets,my pets don't go to the motion for outside,i don't need clean my home in outside,
2392,home occupant,my smart home to monitor all outgoing water levels from the house,"I can be notified if ever there is a leak in the house (hose left on, pipe busted, etc.)",
2275,home occupant,"Every single item and appliance in my home to have advanced safety features in the event of a break in. Since every item is smart, all my appliances, my TV, etc should be able to communicate or send alerts to my smart phone in the event that someone in my house is tampering with them. Maybe a smart phone alert when something becomes unplugged, for example. Combined with a full series of motion sensor and body heat detection features indoors, and outdoor security features such as automated cameras, I envision the future of the ultimate secure smart home. ",Our home can be safe and burglary free. ,
2539,home occupant,Air chemical detection system,"I know what is in the air, especially when home renovation is happening",
952,pressure patient,to regulate the pressure,easy to maintain the health problem,
2594,home occupant,a device that heats the roof of the house to melt snow,"if there is ever a large snowstorm, I dont run the risk of my roof colapsing",
1210,responsible mother,to be alerted when the cabinet locks on my cabinet doors are broken or opened,I know my child is safe,
1071,light sleeper,light bulbs that can be triggered to slowly dim over a period of about half an hour to simulate the sun going down,I can more easily fall asleep and be rested,
898,home occupant,"a virtual inventory of my closet, and daily suggestions for outfits from paid fashionistas online",I know what to wear every day,
822,home occupant,to be able to turn off my stoves ,just in case I forgot to turn it off when I left home,
1351,want to flow water,My tabs manually control the water flows,Water flow can control whenever we want,
1500,home occupant,a washer/dryer combo that will be controlled by my phone or mobile device to do my laundry at set times,I won't have to worry about it.,
3116,home occupant,my smart home to recognize stress words that automatically cue appropriate music from the stereo,I can calm down,
522,bird watcher,a bird alert,when a particular bird is outside the window I can observe it,
2450,home owner,a shower that will go to my preferred temperature with a button press,I can shower more easily,
3219,home occupant,"dynamic climate control that heats me up when I'm cold, then brings me back to a normal temp",I can always be comfortable and save moneyon heating,
3203,teacher,an smart machine to keep track of my students activity,I can well known about my students,
1298,home occupant,refrigerator to track the items it stores and provide a digital reading when items are running low ,I can be a more efficient shopper and so that I always have what I need in the home.,
609,parent,to know when my children are not feeling well,i can take them to hospital,
2035,home occupant,my dryer to sound when the clothes are finished drying,I can take the clothes out when they are done,
2733,home occupant,a radio that i can talk to to play specific artists ,i do not have to use my smartphone to do this ,
2140,home owner,a perimeter alarm,I know when anyone has crossed into my property,
2703,home owner,a smart shower system,water pressure and heat will remain consistent and strong for the duration of my showers.,
663,home occupant,Automated cookers/crock pots,I can control various appliances and therefore the food I make while I'm not at home using a smartphone app,
732,home owner,a refrigerator that tracks how long milk has been inside,I never have to drink sour milk again,
1102,person who exercises,to hear an alarm if I did not exercise that day,I will be encouraged to exercise,
1135,home occupant,notification when water collecting in basement,I can be aware of flooding,
543,home occupant,the floors in my bathroom to warm up when I get in or out of the shower,I don't have to enter or exit the shower into a cold bathroom or have to touch a cold bathroom floor,
85,student,"my smartphone to silence notifications (sounds, doorbells, TVs, etc.) unless it is an emergency",I can study,
2463,home owner,my smart home to alert me when my wife is headed home,I can have dinner ready for her!,
2873,nanny,a camera/alarm at the back door to alert me via sound and/or text message if the back door has been opened and left open,small children in my care can not leave the house and wander near the pool,
1530,parent,"monitoring system for my television, about which channel are preferred by my kids",to understand the interest of my kids,
2555,home occupant,when leaving outside all the lights to be turned off.,my current bill would be less.,
3676,home owner,a water safety sensor that texts me if there's anything unsafe in the drinking water,I can stop drinking the water when necessary,
560,home occupant,smart home that has a mail receptacle that has sensors to alert me when mail has been delivered,I can promptly retrieve my mail without having to worry about theft,
3187,home owner,"voice activated media system, like echo",I could access media in every room,
3382,tv show watcher,an alert sent a day in advance when a new episode of my favorite shows will be coming on.,I will know to make sure I can either DVR or be home to watch and not miss my shows. ,
2552,home occupant,"A thermostat that flucuates with the peak levels of electricity use, and regulates itself",I save on energy costs.,
3221,pet owner,something that can throw pet toys around when I'm not around,my dog can have fun without me!,
3367,home occupant,feature that calls for the police or ambulance from any room in the house but is unknown to anyone not in my family. So a tap of a wall in a certain section or pushing a section of wall for a few seconds to send notification or just yelling out police that in-home speakers pickup and relay to police. ,I don't have to rely on just a phone to call the police in case of intruders or home invasion.,
3199,home occupant,"my home to check traffic conditions and weather and recommend whether I should work from home for the day and if so, set my house temperature, lighting accordingly","on days with bad traffic and / or bad weather, the best decision on where I work from is automatically taken on my behalf",
2905,home occupant,my smart home to let me know if I have exceeded my monthly water allotment,I can conserve water and save money,
756,renter,my smart home to monitor my utility usage and costs.,That I can stay on budget for the month.,
1377,parent,an alarm to sound if the gate to the pool is opened,I will know if someone enters when I am not present,
996,servant,"alert me when something usual happened like fire,smoke",prevent from bad things that might happen,
296,home owner,items to save energy,my bills arent high,
2906,home occupant,smart alarm clock,it always has the right time and has simple buttons,
3432,home occupant,My smart home to automatically lock all doors and windows in my home and record any problems,I can be sure my home is safe and secure when I retire for the evening without having to check every door and window myself. ,
2787,home occupant,my fridge or freezer to automatically shut if I leave it open,I save on energy and my food doesn't get spoiled.,
3601,home owner,motion sensor cameras ,when someone is at my door my phone is notified and i can see video,
2298,pet owner,flea sesors,I will know as soon as my pet has a flea,
2229,home occupant,the smarthome to assess the temperature outside and adjust the inside temperature appropriately,I can feel more comfortable when the weather changes quickly.,
643,home occupant,a sensor in the refrigerator that light up the container if food starts going bad,so that there will be no sickness,
2561,home occupant,to get alerts when someone knocks my door.,i can get alerted when a stranger enters in.,
2430,pet owner,an indicator of when the dog goes in and out the door,I can always track when my dog goes inside and out.,
1143,parent,auto turn off feature for stove if left on too long ,that the house does not burn down ,
2735,home occupant,my fridge to tell me whenever food is about to be spoiled with cameras that detect expiration date. ,I can keep a safe and clean refrigerator at all times. ,
3435,floor,Safty,Child,
283,home occupant,my smarthome to automatically turn off the lights whenever I leave my home,I can save money on energy bills,
1859,home owner,all my electronics and electrical items to get witched off if there is no one there for certain time,I can save my bills,
2921,home occupant,mobile overhead celing lights,it can provide ample light wherever I am,
499,motion detector,"to know any unusual moves like cats, dogs,other than humans",i can be alert,
3434,stay at home dad,an oven that would show recipes that are healthy as well as inform me of when it needs  to be cleaned,my family could eat healthy and have a clean oven,
1846,home owner,a thermostat what adjusts itself based on the outdoor temperature,I can conserve energy but also maintain a pleasant temperature inside,
1144,parent,an auto food fill for the dogs ,incase i forgot so they get optimal health ,
3110,home owner,individual room thermostats,I can control different temperatures in different rooms depending on usage.,
431,home occupant,drive and walkway lighting to be turned on when people are using them at night,occupants don't fall and the outside of the house is lit when strangers approach at night.,
412,movie lover,"The lights to dim (all lights in the house), phone to go silent mode, and set mode on phone to automatically respond to text messages when I start playing a movie.",I will be able to enjoy the movie without interruptions.,
1414,home occupant,a touch screen calendar built into the wall,"I can easily track my schedule without paper, pens, markers, or messy dry erase markers",
1849,home owner,automatically closing windows when a person is within a certain range of the window,"I can leave windows open on a nice day instead of running the air conditioning, but also maintain the safety of my house",
2939,home occupant,my smart home to adjust my thermostat in my home to the temperature I prefer by memory and change by request of my voice only,I can save money on my bills and not be inconvenienced ,
3633,home occupant,automatic ceiling fans,I can save energy by cooling rooms with fans that I am in and turning off fans at night that are in other rooms,
2132,mother,teen child monitoring,I'm assured my child is home at appropriate hours,
1426,lazy person,"I would like a system to alert me of the weather, time and such",I don't have to grab for my cell phone ,
493,controller,to on my a/c automatically when the room temperature raises above 30 degree celcius,i can feel free when i return home,
2968,home occupant,my smart home to turn off non-essential electrical consumption when there is nobody present inside my home,I can conserve energy,
3599,occupant,home to suggest dinners based on what is in fridge and freezer and prepare them when prompted,I save time and can eat a variety of food instead of the same thing every night,
3168,movie watcher,"a remote that controls my lights, tv, other electronics",I can control everything from one place.,
2010,home owner,security cams to automatically record when strage movement happens at night,video of the matter can be obtained,
1813,parent,"my smart mobile to send me an SMS when my child is not feeling well, when I am in office",I can rush or alert my family doctor to attend them,
838,home owner,lights and electronics that sense when i've fallen asleep and adjust automatically,i can save energy,
3017,person,a complimentor,to tell me nice things randoly,
2592,home occupant,a food device that organizes food portions and/or calories,I can maintain a healthy weight and lifestyle,
2262,energy saver,a furnace that can sense the temperature in multiple rooms ,hut off vents in rooms based on user preference for that room,
2507,money conscious person,To be aware of my utility usage and estimated cost at any time,I can not be surprised when the bills arrive and can take steps to cut back when we've used excess.,
1576,pet owner,automated food and water dishes,my dogs will have food and water at all times,
1691,parent,a voice detector for whenever someone screams for cry of help,I can alert the police or authority whenever I'm not at home.,
1485,home occupant,my windows to be open whenever the weather is temperate (between 60 and 75 degrees F),I can automatically breathe fresh air when it wouldn't be extremely costly to do so,
1549,home occupant,fire place turns one when I get home from work,it will be warm and relaxing after work. ,
353,home occupant,curtains that can close automatically with a clap,I don't have to pull a string,
75,home owner,to be alerted when a window is smashed or forced opened from outside the house,I can prepare for an intruder and call the police. ,
1080,parent,be able to call 911 with my voice,I can quickly call during an emergency,
291,cooker,it to turn on the oven at a specific time agreed upon by a person,dinner can be ready at a specific time before the home owner gets home or they forget.,
645,home occupant,Controllable applicances,I can control the power supply to all appliances and turn it off in order to save energy,
3054,home occupant,my drink to automatically be filled when its low (it could be measured by weight),I don't have to walk to the fridge and can embrace laziness,
1511,health enthusiast,have a voice feature connected to my surround sound system at home that reminds me to exercise ,i stay on track with my fitness goals ,
2173,home occupant,Windows that lock,I feel safe,
476,home owner,the stove to shut itself off when my food is done being cooked,i never overcook or burn my food,
2032,parent,to set alerts to check batteries in smoke and carbon monoxide detectors,the alarms will work if there is a fire,
1395,home owner,a device that tell me when mail or a package has arrived,Important items are not left outside.,
510,home owner,a door that will open for my dog,dog can go out for outside time,
2373,consumer,automated lighting in closets,"when  I open my closet door, the light automatically comes on so that I can see adequately",
537,home occupant,my dishwasher to emit a beeping sound or text my phone when it is full and when the dishes are cleaned,I can remember to turn on the dishwasher when it is full and to remember to turn it off when the dishes are cleaned to save energy and time,
237,parent,wireless access to emergency services,I can still call for help if my phone lines are cut.,
2578,parent,my kitchen to tell me when Im low on the kids favorite foods,I never run out of anything,
871,daughter,my smart home to have a phrase that my mother can say if she ever needs help,She can easily get assistance if she has a medical emergency,
2175,home occupant,Speakers wired into the walls that I can control my voice,So I can listen to music/tv while walking around the house ,
1269,home occupant,the window curtains to automatically close,the sunlight stays out and the heat stays in,
945,home occupant,wall mount transmitter,Automatic  regulate the transmitter,
38,parent,my smart home to buzz my room if there is a disturbance in my baby's room,I can make sure I can be there in case my baby needs anything,
3391,home occupant,my smart home to heat the floors when it senses cold feet,My toes are not numb from the cold,
444,parent,a home that's interactive for my kids,they will not be bored.,
769,home occupant,my bed to detect my sleep patterns,so that it knows when to wake me up based on the quality of my sleep,
1098,outdoor enthusiast,a smart weather device that suggests certain times that would be best for certain activies,I don't have to wade through every day's weather and try to determine which percentages or precipitation on which days make outings possible.,
1698,music fan,my music device to notify me when my favorite artist release new music,i could keep up with their latest music and download it,
907,parent,videos that monitor the inside of my home,I can view my teenage child's activities while I'm away on vacation or on business,
697,home occupant,the heat to automatically adjust when people enter or exit a room,I can save energy,
3162,a caretaker,backup generator,home dialysis wouldn't have to stop during an outtage ,
2944,pet owner,my smart home to sense my pet coming up to the door to open and let the pet outside.  Then open when he comes in from the outside and closes and relocks.,I can be sure my home is secure and my pet can be active,
2280,home occupant,home appliance universal remote,I can remotely control electronic devices throutout the home,
494,home owner,"my smart phone to come with an app that whenever someone rings the doorbell, I can see on my phone, tablet, computer a picture/video of who it is from anywhere in the house",we can know who is at the door more securely and be ahead of any possible problems.,
1138,parent,alarm when computers are connected after bedtime,kids dont sneak on after bedtime,
2294,health conscious consumer,any room reminders,"notices for vitamins, medicine or energy drinks schedules won't be missed",
882,home occupant,house cookerchef,the house could make your own food for you. ,
1129,parent,to be alerted when an exterior door opens,I can be aware when one of my children exits the home.,
3328,home owner,occupancy-detecting thermostat conrol,"HVAC controls are determined by time of day, but overridden if someone is home",
1909,trivia lover,an encyclopedia I can speak directly to installed in my home,I can find out the answer to whatever question I'm wondering about without having to do the searching on my own.,
3653,parent,My smarthome to alert me when a window or door is opened in any room,I can be made aware if my toddler is going outside,
392,doctor,clinic ,help patient ,
465,home occupant,controllable lights,I can turn all of them on or off at a push of a button,
440,home owner,my home to notify me when someone approaches the main door,I can be confident that the individual is not trying to break-in,
1639,head of the family,security system to alert me of unknown people getting into my house at my absence,to safe guard my family members,
3481,music enthusiast,Speakers throughout my house connected to wi-fi,I can play music all over my house.,
272,energy saver,it to check each room and turn off lights if a person is not in the room,the electricty isn't being used when it is not needed.,
3442,home owner,notification of recyclable items as I put them in the fridge,"I know, with ease, what items to recycle",
1765,parent,a medice cabnit that locks and lets me know when someone tries to open it,pills can not be misused,
3019,home owner,energy tracker,I can find out if I am using too much eergy,
536,home occupant,my smart home to make a sound to warn me if my door is not locked at night.,My home remains secure,
1588,home occupant,to cut off water flow ,water is saved and power consumption,
2218,home occupant,My refrigerator to notify me when an object has been inside more than four days ,Less food goes to waste and things get thrown out or used before they spoil,
3388,i want my,the wall papers to change theme according to the season of the year,I can feel better when I am inside.,
648,mother,"my baby's crib to alert me when my infant wakes up, via my iphone or apple watch",I don't have to use a baby monitor.,
1664,pet owner,home that will notify me by text message when my dog is barking,I know about any potential intruders,
971,parent,Children's programming to be on the TV when my kids get home from school.,They will watch shows I approved of.,
1040,caregiver to an elderly parent,a sensor that detects a person lying on the floor for more than one minute,I can know that my elderly parent has fallen and needs assistance,
1890,home occupant,pool safety monitoring,I am alerted via cell phone if anyone goes near the pool to keep children safe,
316,home occupant,a central control unit,I can easily change settings of smart home features in my house. ,
531,home occupant,my smart home to let me know if there is any door or window unlocked,I can better protect my family from intruders.,
1786,parent,my home to have the ability to detect carbon monoxide (built into the home) and alert us,my family stays safe ,
2857,home occupant,certain scents in my shower,I can breathe peppermint if I have a headache ect ,
2911,home owner,"my cothes dryer to send a signal to my phone when it is finished, and be able to turn it on if I have not unloaded it.",I do not get too many wrinkles in my clothes.,
2137,parent,a feature that alerts me the sites my child visits,I can monitor what they are doing,
2438,home occupant,my smart home to automatically warm the floors in my home depending upon if the room is in use,I would be able to walk around my home without wearing anything on my feet,
2124,home owner,"my oven to tell me when something I am baking is done,",I won't leave the oven on too long and use too much power. ,
2572,occupant,my tv to find my favorite shows automatically,I dont have to search for them,
938,home occupant,Room thermostats,Protect the room temperature,
3429,home occupant,my home to have smart faucets that filter my drinking water and let me know of the quality and any dangers,no one becomes sick from drinking the contaminated water,
2545,home occupant,a setting that will turn off all lights when movement is not detected in a room,I can save on electricity.,
1149,pet owner,to be notified when my dog makes a mess, so it can be cleaned quickly.,
3033,home occupant and parent,motion sensors near staircases,I will know if the baby gets too close. ,
1773,home occupant,a water guage,I can keep track of how much water has been used that month,
509,home occupant,my smart phone to make movie and tv show recommendations based on previous choices,we can discover more entertainment choices.,
1128,home occupant,My smart home to track time based activity and prepare regarding for that.For example for three days after walking up if i turn on water heater fourth day it should turn on when I wake up like that,I can improve life quality ,
1492,home occupant,My refrigerator to notify me on my smartphone that its stock needs to replenished.,"So that I could stock it up with the things I needs most, and never run out of the same. ",
429,home owner,A command kitchen that controls appliances by voice,I can remote activate anything even not in the kitchen,
2489,home owner,a zapper that automatically zaps insects that may come inside,I can avoid an infestation,
964,home occupant,my smart home to sort through the trash at certain intervals and extract recyclables from the trash,all trash is separated and recycled.,
2904,husband,"To have a camera on my wife at all times, especially in the bathroom.",I can make sure she isn't doing something I disapprove of.,
329,home occupant,the house to automatically determine the right temperature to set the thermostat,I will save on my home heating bills,
3471,home occupant,a mechanical weight sensor in the gutters ,when too many leaves pile in the gutter it will automatically clean it.,
1901,home owner,a TV that turns itself off after I leave the room,it will save electricty,
1520,parent,understand the calories of food taken by my kids,it helps me understand their requirement and as well check with their health.,
3075,host,monitor air flow and quality,my guests are comfortable at all times,
101,home occupant,"I want to get the Airconditioner off,when the room is empty",I can save energy,
1665,home occupant,my TV/audio system to play my favorite news programs in various media ,at desiginated times so I can stay informed & remember it in various ways.,
1493,parent,kitchen safety system to get automatically on after 10:00 PM,my kids as well my total family is safe during nights.,
2198,home occupant,The shower to begin on a voice command,it can reach the proper temperature before I enter it. ,
1936,home owner,video monitoring security that records activity on my property,I can watch my property,
787,home owner,"A lawn mower device to automatically cut my grass when it detects it is above a certain height, similar to a roomba vacuum robot.","I can relax and focus on the things that are important, like cooking and eating with my family.",
3331,home occupant,Security cameras to upload to the cloud,the footage is saved even if something bad happens to the home,
3631,home occupant,alerts indicating windows opening,I am alerted if someone tries to break into the house or if someone tries to sneak out,
2556,parent,should monitor when the tv is on and what kind of shows my kid sees,i will guide her well,
1577,home occupant,Smart tv,That can run with voice,
172,owner,Canary,"It is out-of-the-box security system that is perfect to keep an eye on my home remotely; it helps protect my house by alerting me of intrusions. The device itself comes with a camera to monitor house surroundings, a humidity and air quality monitor and a siren that is good for chasing thieves away.",
3567,home owner,a washing machine that also functions as a dryer,i can put clothing into it and not have to worry about switching it when the laundry is finished. it should also text me when the clothing is dry so that they dont get wrinkled.,
1182,controller,my house to integrate to my phone and tell me when I need to service or repair something,repairs don't get more costly or do damage,
1142,parent,the main living room tv to turn on at specific times when i get home ,so that i can relax after work ,
496,occupant,lights to come on when I am in a room,trip over anything,
1360,home owner,Phone notification to alert me of the weather conditions and suggest how to dress properly,I can be comfortable and prepared for bad weather,
1575,pet owner,my smart home to allot food to my pets in relationship to their tracked expended energy as determined by their collars and movement,my pets will receive more food appropriately when they have been especially active and will be hungry. ,
15,student,Class Reminders,I won't be late for class,
2060,musician,to know the decibel level of my amp throughout my apartment,I know when they cops are coming.,
1758,parent,my smartphone to have an app to show me video of the baby room at all times,i can always check on the well-being of my infant,
680,home owner,my music player to work in conjunction with the lights,to set the mood for when I am entertaining,
2849,home occupant,to take phone calls just speaking in my home,i don't need my phone,
1667,home occupant,the smart home to call the police if there has been trespassing while the owners are not at home,the residence and possessions within it remain safe,
3064,home owner,automatic doors,I don't have to open them,
2972,parent,"my smart home to make a pleasant noise when any of my doors open or close, that goes to my bedroom",I can be sure my son is in the home and does not go anywhere without letting me know,
1339,home occupant,music to be played when I get home,it will help me relax,
1581,smart home owner,the ability to analyze energy consumption by CPU or smart phone,I can determine which rooms and devices are consuming the most energy.,
846,home owner,my electricity should be monitored with the help of daily report to my mobile automatically ,i can save energy ,
599,tv watcher,recommendations of new tv shows,i can know what is new,
1865,home occupant,an alarm that goes off that lets me know when an emergency is taking place on a panel within the house,I can react to whats going on in my surroundings. ,
2103,home owner,walls that can be set to reduce noise levels,you can be undisturbed by others noises.,
1916,pet owner,my smart home to track if my pet is inside or outside,I know where she is.,
216,home occupant,Innovative controls in my kitchen,so that cooking is energy saving & easy ,
2542,home occupant,"whenever the electricity power goes off automatically, all the products should be turned off automatically.",when power is back with high-fluctuation the products doesn't gets damaged off.,
2852,home occupant,to send txt using my voice in my home,i don't have to txt on my phone,
3225,parent,soft lullaby music to play when I enter the nursery with my child,my baby will stay asleep,
2937,pet owner,my home to alert me if my dog gets out of the yard,I can promptly retrieve my dog to prevent danger to my dog or to any people who might encounter him,
2543,home occupant,when leaving outside all the lights to be turned off.,my current bill would safe.,
1207,musician,"Adaptable sound insulation around my music room, but the room doesn't sound dead"" like you get with traditional sound insulation.""","so that I can play my instruments and sing at any time without waking family, ",
358,pet owner,my home to notify me when I need to take the dog out for walks,I do not neglect my pet and it can take care of its business outside the home,
3456,home occupant,to be able to monitor and allow maintenance workers to enter my home remotely,I don't have to take time off work to do it.,
2807,pet owner,my smart home to tell me when the filters in my fish tanks stop working,I can be made aware to save my fish.,
2986,home owner,outside accent lighting to change colors depending on the date,my lights always go with whatever holiday is coming up,
3538,caregiver,my smart home to remind me when meds are taken,I can monitor that medications are taken properly,
896,home owner,to know the weather condition automatically to my mobile ,i can know how should i travel to my office ,
286,housewife,my smarthome to alert me whenever the amount of milk in my fridge is too low,I can get them from the supermarket and enjoy a wholesome breakfast,
2214,home occupant,my smart home to start my coffee when my alarm goes off.,I will have hot coffee and not have to worry about resetting the timer on the coffeepot every night.,
372,music lover,speakers to turn on where im walking towards,i can enjoy music all over the house,
2285,student,the house to block out sounds from outside my room when studying ,I can have peace and quiet when working,
1477,person,my smart home to tell me what foods in the house are healthy and how much nutrition is in them,they can provide better health,
490,home owner,my smart home to notify me when it detects possible carbon dioxide,a potential dangerous situation can be avoided.,
1153,home occupant,plants that water themselves with a gadget when they detect water is needed,I can not worry about killing the plant by forgetting to water it.,
2721,home occupant,an automatic sprinkler ,when it has not rained in awhile the grass will stay green and watered,
2046,worker,to be able to start my slow cooker or oven remotely,dinner is ready when I get home.,
3005,parent,my smart home to be included with smart ligh bulbs,when I enter it detects and activates,
2209,home owner,the floors to heat up on cold mornings,I can be warm.,
1649,home occupant,a monitor for the front door,I don't have to get up for those annoying witnesses or charity drives,
3650,home occupant,what ends up in the toilet analyzed,I can be aware of my current physical state and health. ,
2084,home owner,A water boiler that automatically defaults to Vacation Mode (and lowers the heat setting) if water has not been used for 3 days,"when we leave suddenly for vacation, we are not wasting gas heating up water that wont be used",
3223,home occupant,a fireplace that starts itself automatically when appropriate,I don't have to deal with wood and opening an open flame to my living room,
2621,a home owner,House energy in the home.,I could see in the house,
1008,"person who owns a cat who only drinks water from the bath tub,","to be notified whenever the cat is sitting in the bath tub, so I can turn on the tap for him.",so I can turn on the tap for him.,
2508,woman who wears makeup,voice activated light settings with different shades of lighting,"I can see myself in natural light"" and other light while still in my bathroom""",
347,pet owner,my smart home to alert me when my cat enters or leaves the house,"I have a better idea where the pet is (and don't spend hours searchign inside, when the cat is actually outside)",
3582,home occupant,"a fireplace that can be used both for wood fires and gas fires, and can automatically build and extinguish them.",I can enjoy a fire without all of the work,
1472,home owner,remote access to fire alarms,I am aware if my fire alarms go off while I am not at home.,
398,person who works away from home,"my smart home to alert me to any odd environment fluctuations in my home that may signal fire, burst pipe, oven left on, burglary",I can take appropriate action to rectify the situation before it becomes worse.,
3384,home owner,meter that shows water/electricity usage and calculates it into how much money is being spent before my bill comes in the mail,I would be able to conserve on energy/ water while saving money,
478,home owner,the lights to turn themselves off if they sense a room is empty,I save energy and money on my electric bill,
356,adult,Smoke detectors that can notify my phone,I know if there is anything wrong in the house,
1797,home owner,my home to record television shows I missed while I was away,I can watch them when I have free time.,
2487,parent,monitor my childrens TV,so I can prevent them to watch bad channels,
2241,home occupant,smarthome feature that turns on preselected music/news/audiobook/etc. when I turn the shower on,I can easily enjoy something to keep my attention while taking a shower.,
3353,phone landline owner,"my answering service to delete any calls from unknown caller with specific phrases left in messages such as  a great opportunity for you"""," ""special savings"" and ""special offer""""",I will not be bothered by unwanted sales calls on my answering machine
3041,environmentalist,have solar power,coal doesn't pollute the air to power my home,
2161,home occupant,my house to help me know what I need for dinners,can be prepared to cook when I get home,
